date,p0,y_true_price,y_pred_price
2025-05-13,253.17999267578125,232.08610721575087,36.574621543607
2025-05-14,253.17999267578125,228.8419311648744,35.89952081699106
2025-05-15,253.17999267578125,233.6214336765588,35.23333913855812
2025-05-16,253.17999267578125,228.35462870396765,34.569726662632085
2025-05-19,253.17999267578125,229.5094593183097,33.909565107698704
2025-05-20,253.17999267578125,223.36819401927517,33.2564536002667
2025-05-21,253.17999267578125,227.6537321671435,32.618904573427905
2025-05-22,253.17999267578125,226.51892648757433,31.993962412226917
2025-05-23,253.17999267578125,242.23922142542182,31.384964207380914
2025-05-27,253.17999267578125,238.24071515858859,30.78823822983505
2025-05-28,253.17999267578125,239.26203204774893,30.206825785394376
2025-05-29,253.17999267578125,231.27172171803159,29.630595454311692
2025-05-30,253.17999267578125,228.75514868387182,29.05690630489618
2025-06-02,253.17999267578125,229.80983381545332,28.49718162216288
2025-06-03,253.17999267578125,221.65264200634294,27.949768909023337
2025-06-04,253.17999267578125,190.04521134582646,27.416024554469786
2025-06-05,253.17999267578125,197.01420495006963,26.89751732929718
2025-06-06,253.17999267578125,205.98576149949213,26.4375506401736
2025-06-09,253.17999267578125,217.6741824774696,26.019125193032465
2025-06-10,253.17999267578125,217.90113954035095,25.632197580334136
2025-06-11,253.17999267578125,213.01483022690297,25.25915708013444
2025-06-12,253.17999267578125,217.15351155036223,24.88285543396688
2025-06-13,253.17999267578125,219.7034731478118,24.497588164364494
2025-06-16,253.17999267578125,211.17246689779154,24.10790846624137
2025-06-17,253.17999267578125,214.9773640624483,23.70468555704658
2025-06-18,253.17999267578125,215.050802731174,23.290663239803465
2025-06-20,253.17999267578125,232.75363668806122,22.86901160730541
2025-06-23,253.17999267578125,227.27323822495612,22.443884178463367
2025-06-24,253.17999267578125,218.64876809632545,22.026623337484196
2025-06-25,253.17999267578125,217.46725099173906,21.607088964528632
2025-06-26,253.17999267578125,216.03206995538844,21.18805473878861
